detail_id,involvement,level,applicants
1,Full-Time,Mid-Senior,100
2,Full-Time,Mid-Senior,100
3,Full-Time,Mid-Senior,100
4,Full-Time,Entry,100
5,,Mid-Senior,100
6,Full-Time,Mid-Senior,100
7,Full-Time,Entry,100
8,Full-Time,Entry,100
9,Full-Time,Entry,100
10,Full-Time,Entry,100
13,Full-Time,Mid-Senior,100
14,Full-Time,Mid-Senior,100
15,Full-Time,Entry,100
16,Part-Time,Matches,100
18,Full-Time,Entry,3
20,Full-Time,Associate,100
21,Full-Time,Mid-Senior,100
22,Full-Time,Mid-Senior,100
39,Full-Time,Mid-Senior,18
40,,Associate,30
42,Full-Time,Mid-Senior,100
45,Full-Time,Entry,100
46,Full-Time,Mid-Senior,100
48,Full-Time,Entry,100
49,Full-Time,Mid-Senior,100
50,Full-Time,Entry,100
52,Full-Time,Mid-Senior,100
53,Full-Time,Mid-Senior,100
54,Full-Time,Mid-Senior,100
55,Full-Time,Mid-Senior,100
56,Full-Time,Mid-Senior,65
57,Full-Time,Mid-Senior,100
58,Full-Time,Mid-Senior,30
59,,Mid-Senior,100
60,Full-Time,Mid-Senior,100
80,Full-Time,Mid-Senior,100
81,Full-Time,Mid-Senior,100
82,Full-Time,Mid-Senior,100
105,Full-Time,Mid-Senior,42
106,Full-Time,Associate,100
107,Full-Time,Entry,11
108,,Internship,100
110,Full-Time,Associate,100
111,Full-Time,Associate,100
112,Full-Time,Mid-Senior,45
131,Full-Time,Mid-Senior,100
134,Full-Time,Mid-Senior,45
135,Full-Time,Entry,12
136,Full-Time,Mid-Senior,100
157,Full-Time,Associate,100
160,Full-Time,Entry,12
180,Full-Time,Associate,100
181,Full-Time,Associate,100
182,Full-Time,Mid-Senior,100
205,Full-Time,Mid-Senior,8
206,Full-Time,Associate,100
207,Full-Time,Mid-Senior,100
209,Full-Time,Mid-Senior,50
210,Full-Time,Mid-Senior,50
211,Full-Time,Mid-Senior,19
230,Full-Time,Associate,100
231,Full-Time,Mid-Senior,8
232,Full-Time,Associate,100
233,Full-Time,Mid-Senior,100
235,Full-Time,Mid-Senior,98
255,Full-Time,Mid-Senior,98
257,Full-Time,Mid-Senior,39
258,Full-Time,Mid-Senior,19
259,Full-Time,Mid-Senior,54
260,Full-Time,Associate,100
282,Full-Time,Mid-Senior,39
283,Full-Time,Entry,19
312,Full-Time,Associate,100
313,Full-Time,Associate,100
359,Full-Time,Mid-Senior,100
360,Full-Time,Associate,100
361,Full-Time,Mid-Senior,100
383,Full-Time,Associate,100
386,Full-Time,Associate,100
406,Full-Time,Associate,42
407,,Internship,100
409,Full-Time,Entry,100
410,Full-Time,Mid-Senior,75
431,Full-Time,Mid-Senior,75
432,Full-Time,Internship,100
433,Full-Time,Mid-Senior,100
455,,Mid-Senior,100
456,Full-Time,Entry,12
458,Full-Time,Mid-Senior,100
459,Full-Time,Entry,100
461,,Internship,100
481,Full-Time,Mid-Senior,100
482,Full-Time,Entry,100
505,Full-Time,Mid-Senior,75
507,Full-Time,Mid-Senior,100
511,Full-Time,Mid-Senior,100
532,Full-Time,Entry,100
534,Full-Time,Mid-Senior,100
556,Full-Time,Mid-Senior,100
557,Full-Time,Mid-Senior,58
561,Full-Time,Associate,100
582,,Internship,100
605,Full-Time,Associate,100
609,Full-Time,Mid-Senior,100
610,,Mid-Senior,100
611,Full-Time,Mid-Senior,100
630,Full-Time,Mid-Senior,100
631,Full-Time,Mid-Senior,100
632,,Mid-Senior,100
635,Part-Time,Matches,100
656,Full-Time,Mid-Senior,100
657,Full-Time,Associate,100
658,Full-Time,Associate,100
659,Full-Time,Entry,6
660,,Mid-Senior,100
661,Full-Time,Mid-Senior,100
681,Full-Time,Entry,100
682,Full-Time,Mid-Senior,100
684,Full-Time,Entry,100
685,Full-Time,Mid-Senior,100
686,Full-Time,Associate,100
687,Full-Time,Mid-Senior,100
688,Full-Time,Mid-Senior,100
705,Full-Time,Entry,100
710,Full-Time,Entry,100
711,,Internship,100
755,Full-Time,Mid-Senior,100
780,Full-Time,Associate,100
783,Full-Time,Associate,97
784,Full-Time,Entry,23
786,Full-Time,Entry,100
790,Full-Time,Entry,25
810,Full-Time,Associate,100
811,,Contract,29
813,Full-Time,Executive,6
814,Full-Time,Entry,74
815,Full-Time,Associate,100
834,Full-Time,Entry,74
837,,Contract,47
838,Full-Time,Entry,100
840,Full-Time,Entry,9
859,Full-Time,Entry,74
860,Full-Time,Entry,100
