job_id,location,designation,detail_id,company_id
3787678771,"Bengaluru, Karnataka, India Hybrid",Cloud Machine Learning Developer,1,ltimindtree
3780000775,"Bengaluru, Karnataka, India On-site",Decision Scientist,2,satsure
3779697675,"Bokaro, Jharkhand, India On-site",Consultant - Data Scientist,3,affine
3785472391,India Remote,Generative AI Engineer,4,aiseo-ai
3779882292,India Remote,Freelance opportunity,5,puresoftware
3778458908,"Noida, Uttar Pradesh, India On-site",Data Scientist,6,credgenics
3776688158,"Indore, Madhya Pradesh, India",Data Scientist (Computer Vision),7,revolut
3776684605,Greater Bengaluru Area,Data Scientist (Computer Vision),8,revolut
3776682818,"Gurgaon, Haryana, India",Data Scientist (Computer Vision),9,revolut
3776685583,"Mumbai, Maharashtra, India",Data Scientist (Computer Vision),10,revolut
3781583165,"Bengaluru, Karnataka, India",Trainee - Data Scientist,13,equifax
3777886001,"Infosys ï¿½ Bengaluru, Karnataka, India  1 week ago  ï¿½ Over 100 applicants",Data Scientist,14,infosys
3779694805,"Gartner ï¿½ Gurgaon, Haryana, India  1 week ago  ï¿½ Over 100 applicants",Associate Data Scientist (ML & NLP),15,gartner
3784298796,Masai ï¿½ India  6 days ago  ï¿½ Over 100 applicants,Data Analytics Instructor,16,masai-school
3790564298,"Xerox ï¿½ Kochi, Kerala, India Reposted  16 minutes ago  ï¿½ 3 applicants",Data Scientist,18,xerox
3778704335,"Delhi, India On-site",Data Scientist I/II,20,idinsight
3777886001,"Infosys ï¿½ Bengaluru, Karnataka, India  1 week ago  ï¿½ Over 100 applicants",Data Scientist,21,infosys
3777886001,"Bengaluru, Karnataka, India Hybrid",Data Scientist,22,infosys
3788650998,"Optym ï¿½ Bengaluru, Karnataka, India  25 minutes ago  ï¿½ 18 applicants",Algorithm Developer,39,optym-
3790497981,Applicantz ï¿½ Greater Bengaluru Area  5 hours ago  ï¿½ 30 applicants,Artificial Intelligence Engineer,40,applicantz-com
3782226290,"Navi Mumbai, Maharashtra, India On-site",Data Scientist,42,internet-brands
3785522751,"Haleon ï¿½ Bengaluru, Karnataka, India  6 days ago  ï¿½ Over 100 applicants",Machine Learning Engineer,45,haleon
3785167870,"Bengaluru, Karnataka, India Hybrid",Data Scientist,46,htc-global-services
3775403953,"LTIMindtree ï¿½ Bengaluru, Karnataka, India  2 weeks ago  ï¿½ Over 100 applicants",ML model or Data Data Scientist(Market mix modelling),48,ltimindtree
3782318940,"Navi Mumbai, Maharashtra, India On-site",Data Scientist,49,icicidirect
3779802465,"ExxonMobil ï¿½ Bengaluru, Karnataka, India  1 week ago  ï¿½ Over 100 applicants",Data Scientist,50,exxonmobil
3784297467,"KPMG India ï¿½ Mumbai, Maharashtra, India  6 days ago  ï¿½ Over 100 applicants",Data Scientist,52,kpmgindia
3785167870,"HTC Global Services ï¿½ Bengaluru, Karnataka, India  5 days ago  ï¿½ Over 100 applicants",Data Scientist,53,htc-global-services
3785167870,"HTC Global Services ï¿½ Bengaluru, Karnataka, India  5 days ago  ï¿½ Over 100 applicants",Data Scientist,54,htc-global-services
3781163506,"Noida, Uttar Pradesh, India Hybrid",DATA SCIENTIST 2,55,microsoft
3781740982,"Bengaluru East, Karnataka, India On-site",Data Scientist,56,ibm
3784503439,"Bengaluru, Karnataka, India Hybrid",Data Science Manager - Bangalore,57,benchire
3783666404,"Affine ï¿½ Bengaluru, Karnataka, India  1 week ago  ï¿½ 30 applicants",Consultant - CV-DL,58,affine
3783335772,"Tech Mahindra ï¿½ Bengaluru, Karnataka, India  2 days ago  ï¿½ Over 100 applicants","Data Engineer with Python, Scala and Spark",59,tech-mahindra
3781226536,"Equifax ï¿½ Mumbai, Maharashtra, India  1 week ago  ï¿½ Over 100 applicants",Trainee - Data Scientist,60,equifax
3787512253,"Bengaluru, Karnataka, India On-site",Python Developer - Multiple Locations,80,tridentconsulting
3783538392,"Bengaluru, Karnataka, India On-site",AI Assurance,81,deloitte
3786873830,"Adani Group ï¿½ Kolkata, West Bengal, India  5 days ago  ï¿½ Over 100 applicants",Data Science - AI Solutions Expert,82,adani-group
3790559608,"Wood Mackenzie ï¿½ Delhi Cantonment, Delhi, India  1 hour ago  ï¿½ 42 applicants",Data Engineer,105,wood-mackenzie
3784366316,"Chennai, Tamil Nadu, India Hybrid",Business Analyst,106,virtusa
